word,image_url,description,examples,level,is_favorite,needs_review,last_seen,created_at,video_url,category
Hello,,"Raise right hand with palm facing forward, fingers extended, move hand slightly forward","Hello, how are you today?",beginner,FALSE,FALSE,2025-07-02T14:53:25.050993,2025-07-02T14:53:25.051002,https://drive.google.com/file/d/1q25_z8OFiFiWlSAKuESn4mw9Cytpxmr3/view?usp=sharing,BASIC
Thank You,,"Touch fingertips to chin, then move hand forward and down toward the person",Thank you for helping me.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051007,2025-07-02T14:53:25.051009,https://drive.google.com/file/d/1WChCK1nr8tSBZwG3pYTlLYTx7GOJRe3A/view?usp=sharing,BASIC
Yes,,Make a fist and nod it up and down like a head nodding,"Yes, I agree with you.",beginner,FALSE,FALSE,2025-07-02T14:53:25.051012,2025-07-02T14:53:25.051014,https://drive.google.com/file/d/1ToFfcA-AgdD_oqMiehMzCqBVJaByymfh/view?usp=sharing,BASIC
No,,"Extend index and middle fingers, bring them together in a quick closing motion","No, I don't want to go.",beginner,FALSE,FALSE,2025-07-02T14:53:25.051018,2025-07-02T14:53:25.051019,https://drive.google.com/file/d/1hEgG3AmEj4okqt-2ri84e69RWEH4eHV_/view?usp=sharing,BASIC
Sorry,,Make a fist and rub it in a circular motion over the chest/heart area,"Sorry, I made a mistake.",beginner,FALSE,FALSE,2025-07-02T14:53:25.051023,2025-07-02T14:53:25.051025,https://drive.google.com/file/d/11Rg-S5AWw_6tiFSW-vysz8D-uVJBiSkM/view?usp=sharing,BASIC
Please,,"Flat hand on chest, make circular rubbing motion",Please help me with this.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051028,2025-07-02T14:53:25.051030,https://drive.google.com/file/d/1k_UZTMPg07gQEVjQuel7fBZcduZnel2G/view?usp=sharing,BASIC
Good Morning,,"Sign 'good' (thumbs up) then 'morning' (left arm horizontal, right hand rising from behind left arm)","Good morning, have a nice day!",beginner,FALSE,FALSE,2025-07-02T14:53:25.051033,2025-07-02T14:53:25.051035,https://drive.google.com/file/d/1duxxMv4LhfVd6vPntKXm2_BhZULPuTZO/view?usp=sharing,BASIC
I Love You,,"Point to self, cross arms over chest, then point to the person",I love you very much.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051042,2025-07-02T14:53:25.051045,,BASIC
Help,,Place right fist on left palm and lift both hands up together,Can you help me carry this?,beginner,FALSE,FALSE,2025-07-02T14:53:25.051051,2025-07-02T14:53:25.051055,https://drive.google.com/file/d/1gOcGWvH7K9KADpVCQL27auAbzFl3OrG8/view?usp=sharing,BASIC
Eat,,Bring fingertips to mouth in a repeated motion,Let's eat dinner together.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051061,2025-07-02T14:53:25.051064,https://drive.google.com/file/d/1iE4Q_7T0JpaU1gSUke4emOa__TNuyjKn/view?usp=sharing,BASIC
Drink,,Make a 'C' shape with hand and bring it to mouth as if drinking,I need to drink more water.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051069,2025-07-02T14:53:25.051073,https://drive.google.com/file/d/1v8kzYDkZqsBp9EV3yxRk6X1OM-KxxyOt/view?usp=sharing,BASIC
Water,,Make 'W' handshape and tap it against the side of the mouth,The water is very cold.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051079,2025-07-02T14:53:25.051082,https://drive.google.com/file/d/1v0HoHNG-UcU79TQKeWGxPx7CdLmy7iPU/view?usp=sharing,BASIC
Toilet,,Make 'T' handshape and shake it side to side,Where is the toilet?,beginner,FALSE,FALSE,2025-07-02T14:53:25.051088,2025-07-02T14:53:25.051091,https://drive.google.com/file/d/1bjmkUBOqczCcIcSkfobDAkwaSabav2OJ/view?usp=sharing,BASIC
Mother,,"Open hand with thumb touching forehead, then move hand down",My mother is very kind.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051097,2025-07-02T14:53:25.051100,https://drive.google.com/file/d/1-SeJn-_ZoRoATnGVg86gyZ95B5yEbNAV/view?usp=sharing,BASIC
Father,,"Open hand with thumb touching forehead area, fingers spread",My father works hard.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051104,2025-07-02T14:53:25.051106,https://drive.google.com/file/d/1dEoD-LGubuoIiFu2M_aLvNSxGn_mZzyj/view?usp=sharing,BASIC
Brother,,"Point to forehead, then make two index fingers side by side",My brother is taller than me.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051109,2025-07-02T14:53:25.051111,,BASIC
Sister,,"Point to cheek, then make two index fingers side by side",My sister loves to read.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051114,2025-07-02T14:53:25.051116,https://drive.google.com/file/d/1b-0oNnH0zSbYYTVZjDNSsPPvhW3Ev7rq/view?usp=sharing,BASIC
Friend,,"Hook index fingers together, then reverse the position",She is my best friend.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051120,2025-07-02T14:53:25.051123,https://drive.google.com/file/d/1ml7lthsJX7nIioROPcMtMQ1VUwnyyl_E/view?usp=sharing,BASIC
Teacher,,"Fingertips at temples, then move hands forward with flat palms",Our teacher is very patient.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051129,2025-07-02T14:53:25.051132,https://drive.google.com/file/d/1niZmi5GtQ6iUbDj2ZTNyiH4-xuxgsKNe/view?usp=sharing,BASIC
Student,,"Fingertips at forehead, then move to flat palms like receiving knowledge",I am a student at this school.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051138,2025-07-02T14:53:25.051141,https://drive.google.com/file/d/1zbKPy1lkzD12sM-Ew744z6ftGGF65UXs/view?usp=sharing,BASIC
Book,,"Palms together, then open like opening a book",This book is very interesting.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051147,2025-07-02T14:53:25.051151,https://drive.google.com/file/d/1cntn5B2rAxogseGNk_IhK6gq7PrliuOr/view?usp=sharing,BASIC
School,,"Clap hands together twice, representing learning",I go to school every day.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051154,2025-07-02T14:53:25.051156,https://drive.google.com/file/d/1mYGEFiAb6Mi_SocUCisQM5k60GubzwpL/view?usp=sharing,BASIC
Work,,Make fists and pound them together in alternating motion,I work at the hospital.,beginner,FALSE,FALSE,2025-07-02T14:53:25.051159,2025-07-02T14:53:25.051161,https://drive.google.com/file/d/1z8O03igMau3wXcvDEmxSUenzACyKy_IA/view?usp=sharing,BASIC
